ds,dep_var,trend,season,holiday,competitor_sales_B,events,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,newsletter,intercept,depVarHat,solID
2016-11-21,2964696.66666667,702789.323476212,423542.812100694,0,1303035.90858922,0,105122.148481542,105644.10997587,16748.6696701387,69643.2183863128,4523.31382247758,59245.7392050213,0,2790295.24370749,2_264_1
2016-11-28,2848525,703012.56737244,343858.855549034,0,1347009.44907539,0,17819.7611643772,70588.6738732199,9520.51706467914,65369.24303337,27791.3603075728,92102.7446330254,0,2677073.1720731,2_264_1
2016-12-05,2740160,703235.811253618,268742.36913557,0,1188315.8182387,0,51947.4068114724,121753.204275671,471.369990861492,53648.9963139223,28360.5244413196,196407.510156658,0,2612883.01061779,2_264_1
2016-12-12,2380508.33333333,703459.055134796,251355.66169968,0,1140699.618797,0,7723.9716394299,83936.2581469765,22.8189924333757,52569.6198344693,27029.3534729316,101593.909643154,0,2368390.26736087,2_264_1
2016-12-19,2230915,703682.299015973,284563.32030912,-306004.436697425,1028557.03940459,0,1041.99555067474,134261.207693081,1.10344969357873,44165.1565406478,26050.8199820349,19140.3659975686,0,1935458.87124596,2_264_1
2016-12-26,3659425,703905.542897151,311585.57790777,981654.174846117,1115562.645572,0,334828.118432752,94899.6194329164,0.0533562700935836,63757.6206418097,29382.8407510025,1834.60464680849,0,3637410.7984846,2_264_1
2017-01-02,2827008.33333333,704128.786778329,286089.549096568,0,1082079.82434069,0,284191.444370542,145440.743618298,213323.80314676,64657.95592796,27914.6683120239,140455.925005037,0,2948282.70059621,2_264_1
2017-01-09,2042143.33333333,704352.030659507,214848.502101663,0,983541.873360191,0,91186.1192553009,105178.640927365,21653.4695340717,65024.3052943422,28174.5819322926,91454.8398591485,0,2305414.36292388,2_264_1
2017-01-16,2113358.33333333,704574.490475027,141579.004036043,0,967018.730776794,0,37598.3973744585,70215.2029875331,3218.79081520876,64480.7747504497,28079.4878187534,134334.480491291,0,2151099.35952556,2_264_1
2017-01-23,2179918.33333333,704796.950290547,98398.9313015241,0,1009881.37717217,0,5411.04826925989,43941.0163076689,41842.588041544,70882.1807921271,28001.7035295802,57683.1533710134,0,2060838.94907544,2_264_1
2017-01-30,2370613.33333333,705019.410106067,80597.8992903565,0,1024210.87191534,0,172907.692654152,26263.4491696075,2254.84407996728,67228.5706362677,28714.1875648784,89322.5425582961,0,2196519.46797493,2_264_1
2017-02-06,1814556.66666667,705241.869921587,63972.4135279619,0,872881.640564372,0,35681.5198419624,15237.1650600898,109.637387079175,43793.9368850737,26014.6129570611,16166.9163426186,0,1779099.71248781,2_264_1
2017-02-13,1951668.33333333,705464.329737107,34161.3140529666,0,907764.263390982,0,5113.25751290125,97765.7913131805,5.30282526780725,68260.8110343253,12908.1907896936,41547.3990619571,0,1872990.65971838,2_264_1
2017-02-20,1918238.33333333,705686.789552627,-6314.57114411879,0,885719.264287724,0,686.044874166369,64355.6911239862,29222.1020298547,44658.836435008,5064.87264119822,51390.0473445639,0,1780469.07714501,2_264_1
2017-02-27,1472390,705909.249368147,-50982.3455772741,0,692982.025724949,0,91.2046828215774,39856.1199095597,1522.18914680284,77320.628934829,21993.537877249,83487.3165508183,0,1572179.9266179,2_264_1
2017-03-06,1477865,706131.701178314,-96975.7362259787,0,676630.322759616,0,12.1101188309243,23656.7258406309,69378.2021102945,52583.8750467158,24988.7993480051,38050.6307105305,0,1494456.63088696,2_264_1
2017-03-13,1300166.66666667,706354.15298848,-139094.732017894,0,594456.485356532,0,22588.8432954691,13665.7244220946,4043.2681009841,32280.2676623597,24621.5197039501,76199.7445838415,0,1335115.27409582,2_264_1
2017-03-20,1160205,706576.604798647,-167712.980614013,0,522165.391525726,0,3145.34020963534,7766.0567224634,143545.305727326,18350.2557036677,22375.6448015356,75527.7541274161,0,1331739.3730024,2_264_1
2017-03-27,1356871.66666667,706799.056608813,-181451.414368317,0,646050.718898855,0,420.285371989348,51753.1372499018,10717.1853331535,47832.5972608738,24952.1913120345,90928.5052678459,0,1398002.26293515,2_264_1
2017-04-03,1355833.33333333,707021.50841898,-197287.955864361,0,652767.746224107,0,55.8432289150342,31351.4081419375,532.218928026241,28824.6634572661,22910.2346458539,10601.1520197338,0,1256776.81920046,2_264_1
2017-04-10,1176266.66666667,707243.960229146,-236069.417187627,23789.1604092019,535553.988701745,0,7.41429913303458,146249.105982501,25.7685390492288,16182.1092262175,20956.57653537,1387.30306005179,0,1215325.96979479,2_264_1
2017-04-17,1955281.66666667,707466.412039313,-293848.881851874,933598.720311756,441281.680541405,0,12817.2463196406,105940.348617294,1.24608886564028,8689.30513563915,20986.1390138218,12212.4183354611,0,1949144.63455132,2_264_1
2017-04-24,1029928.33333333,707684.002404538,-336413.303984372,0,477569.588722145,0,1747.76008146941,132960.151693891,0.0602534739385157,4548.5928094946,20711.0821219146,34595.2351009352,0,1043403.16920349,2_264_1
2017-05-01,2263143.33333333,707901.592769764,-332868.801386694,343371.001529281,407943.024443469,0,153189.388732214,93733.4660031236,0.00291349249175466,2348.42591803341,19576.6374369079,11067.5244732112,0,1406262.2628328,2_264_1
2017-05-08,813771.666666667,708119.18313499,-294199.396236193,0,375901.277308109,0,29732.4273684049,132325.949652376,0.000140878803327396,1203.72153699843,18198.2346016253,11333.2871462366,0,982614.684653425,2_264_1
2017-05-15,880871.666666667,708336.773500215,-268515.085317777,0,424341.339358831,0,4205.03074123145,93167.2376422042,6.81204332877272e-06,614.674187998889,7799.1731529072,39071.9462580633,0,1009021.08953049,2_264_1
2017-05-22,919185,708554.363865441,-291717.511259588,-56695.0022786352,436533.466944473,0,563.121948393168,81660.7202263934,3.29389043644596e-07,54421.6627304726,2829.45319216916,50548.5968882638,0,986698.872257712,2_264_1
